,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status,Current Price,Shares Outstanding
0,N/A,N/A,lll,N/A,N/A,N/A,N/A,N/A,69.554,20.67,1.22,2.7867787,0.05975999,0.09606,0.054,0.14309,139.929,13200000000.0,17.816317,17.816317,3.84,0.1356852,0.1356852,10510000000.0,1010000000.0,1250000000.0,8.2,8.2,0.281,0.134,1100000000.0,2.953,3340000000.0,1.737,60.735,1070000000.0000001,1.39016,2.36,2.36,1520000.0,2.36,0.0197,1410000.0,N/A,169.255,77880000.0
1,N/A,N/A,clf,N/A,N/A,N/A,N/A,N/A,10.248,42.40,0.96,59900000.0,0.01678,0.15015,0.11152001,389300000.0,10.248,2150000000.0,9.651316,9.651316,0.13,0.00272852,0.00272852,2110000000.0,389300000.0,443500000.0,59900000.0,0.171,0.511,0.511,69100000.0,0.996,1700000000.0,2.629,2.801,404400000.0,1.7802,0.11378,0.631,47020000.0,3.35,0.159382,46040000.0,N/A,7.335,296400000.0
2,N/A,N/A,hov,N/A,N/A,N/A,N/A,N/A,18.023,27.40,0.15,14990000.0,0.00563,0.05038000,0.036,358900000.0,18.023,403780000.0,27.95,27.95,1.24,0.5359117,0.5359117,2750000000.0,358900000.0,137910000.0,14990000.0,0.1,0.105,0.105,387670000.0,1.866,1700000000.0,6.251,1.827,536070000.00000006,2.40421,0.09904,0.462,7890000.0,8.0,0.06454,8410000.0,N/A,2.795,132110000.0
3,N/A,N/A,intu,N/A,N/A,N/A,N/A,N/A,29.464,38.36,6.66,20.152521,0.17823,0.26665002,0.17118,0.61596,19.821,34200000000.0,26.530813,26.530813,2.01,0.13769984,0.13769984,4690000000.0,3960000000.0,1580000000.0,3.48,3.48,0.062,0.103,1400000000.0,6.217,0.737,0.904,6.622,1550000000.0,1.33259,0.04979000,0.879,2570000.0,1.44,0.010523,3220000.0,N/A,133.45,256220000.0
4,N/A,N/A,gci,N/A,N/A,N/A,N/A,N/A,45.265,94.18,0.31,1.1448035,0.00349,0.05602000,0.0436,0.01141999,27.417,973850000.0,8.009345,8.009345,0.4007042,0.4007042,0.4007042,3050000000.0,1080000000.0,317330000.0,11040000.0,0.091,0.173,0.173,165560000.0,0.787,0.803,1.112,7.486,170700000.0,7.486,9.24,9.24,8940000.0,9.24,0.109123,8860000.0,N/A,8.57,113640000.0
5,N/A,N/A,cb,N/A,N/A,N/A,N/A,N/A,31.253,14.23,2.10,1.3729427,0.14897999,0.19389999,0.02453000,0.10069,68.679,67440000000.0,13.3683,13.3683,2.91,0.11423945,0.11423945,31470000000.0,8930000000.0,6310000000.0,4790000000.0,10.153,1.381,0.097,5290000000.0,8.23,15380000000.0,0.344,105.354,5290000000.0,0.875107,4.05,4.05,5200000.0,4.05,0.01119600,4790000.0,N/A,144.645,466920000.0
6,N/A,N/A,tjx,N/A,N/A,N/A,N/A,N/A,48.937,19.57,1.32,9.745727,0.06959,0.11538000,0.19703,0.51189,51.315,44340000000.0,16.348341,16.348341,1.68,0.12622601,0.12622601,33180000000.0,9620000000.0,4530000000.0,2330000000.0,3.522,0.079,0.032,3600000000.0,4.86,2230000000.0,1.639,7.079,3610000000.0,0.561265,0.0054,0.91199994,11690000.0,2.31,0.01817100,8870000.0,N/A,68.99,643280000.0
7,N/A,N/A,coh,N/A,N/A,N/A,N/A,N/A,20.464,25.40,2.93,4.547531,0.1155,0.15810001,0.09543,0.18879,16.121,13230000000.0,19.657562,19.657562,2.07,0.10378015,0.10378015,4490000000.0,3050000000.0,915600000.0,520799999.99999994,1.852,0.075,0.037,758600000.0,6.73,591800000.0,4.353,10.288,779400000.0,0.576633,0.00115,0.936,8170000.0,1.9,0.02918100,9140000.0,N/A,46.785,281130000.0
8,N/A,N/A,df,N/A,N/A,N/A,N/A,N/A,149.855,19.53,0.19,2.3549175,0.00907,0.02806,0.05515,0.12218001,86.278,1370000000.0,10.561644,10.561644,1.64,0.15315324,0.15315324,7710000000.0,1990000000.0,396160000.0,71660000.0,0.773,0.062,0.062,257410000.00000003,0.348,891680000.0,1.224,6.548,238740000.0,0.364093,0.01177999,1.054,14820000.0,9.47,0.21965401,15550000.0,N/A,15.42,90880000.0
9,N/A,N/A,all,N/A,N/A,N/A,N/A,N/A,29.989,14.95,0.86,1.6589577,0.0627,0.10103,0.02167,0.1121,100.344,32150000000.0,12.550498,12.550498,0.93,0.26350582,0.26350582,36530000000.0,12460000000.0,4160000000.0,2210000000.0,5.898,2.14,0.063,3990000000.0,8.765,6340000000.0,0.474,53.184,4139999999.9999995,0.999278,0.00266,0.77599996,4150000.0000000005,2.13,0.011546,4740000.0,N/A,88.23,364520000.0
